well,sample,weight-mg,length-mm,width-mm,depth-mm,A590-prestress-t.0,A590-prestress-t.0.5,A590-prestress-t.1.0,A590-hs-t.0,A590-hs-t.0.5,A590-hs-t.1.0
A01,oyster-01,403.2,17.71,12.51,5.24,10932,17076,22549,6916,12886,15658
A02,oyster-02,235.6,11.51,10.46,3.18,10328,16051,19028,8533,13376,14548
A03,oyster-03,112.4,10.46,7.35,3.16,10841,11742,13454,8959,11141,11892
A04,oyster-04,34.9,7.35,4.21,2.14,11549,11349,12211,8745,10494,10636
B01,oyster-05,21.6,5.25,5.27,1.12,10812,10475,11330,8617,11080,10457
B02,oyster-06,55.3,7.35,5.27,2.12,11027,12125,13679,10192,11705,12444
B03,oyster-07,78.4,10.45,7.32,3.15,11106,11819,12397,10434,11267,20267
B04,oyster-08,172,10.47,8.8,4.21,11347,14929,17741,10467,12951,13990
C01,oyster-09,53.7,8.37,8.37,2.15,11430,12076,12320,9193,11130,11113
C02,neg-control,NA,NA,NA,NA,11549,11478,11666,10633,10895,11096
C03,neg-control,NA,NA,NA,NA,11545,11803,12390,10655,11048,11113
C04,empty,NA,NA,NA,NA,8698,8767,8563,7571,8720,8798
dish,big-oyster,2400.2,28.13,22.92,10.43,11549,15116,22305,10633,18791,26195
dish,bigger-oyster,5497.8,40.63,29.17,11.5,11545,16176,16442,10655,13944,16651
